id,generation,lobe,radius,x1,y1,z1,x2,y2,z2
1094,11,4,0.5833160704733692,206.879,65.5766,210.262,204.891,66.8277,206.53
1097,11,4,0.5658995093585432,206.879,65.5766,210.262,207.026,59.8018,211.573
2411,11,3,0.40017526846559826,114.525,193.459,120.13,113.062,196.918,120.171
2412,11,3,0.38822749447458993,114.525,193.459,120.13,117.675,194.474,117.834
2414,11,3,0.3882268230799157,111.84,189.41,120.096,109.044,187.814,120.603
2415,11,3,0.37663484386539553,111.84,189.41,120.096,113.397,191.714,116.466
2396,11,3,0.41249144410141086,119.925,190.241,136.371,123.198,189.336,138.754
2397,11,3,0.40017572492627124,119.925,190.241,136.371,121.469,189.811,133.915
2407,11,3,0.4001754653653181,118.435,180.628,121.188,120.151,180.846,117.265
2408,11,3,0.3882272394441778,118.435,180.628,121.188,121.827,180.548,120.775
1120,11,4,0.5549708463054941,210.959,87.4982,238.974,211.15,89.2142,243.741
1125,11,4,0.5384009871204232,210.959,87.4982,238.974,214.533,84.5659,238.716
2378,11,3,0.5001231520012573,120.938,161.886,172.317,117.175,160.61,174.225
2379,11,3,0.4851902681312757,120.938,161.886,172.317,122.779,166.525,177.146
2385,11,3,0.4251862890874514,113.077,186.164,144.681,116.146,182.176,144.58
2386,11,3,0.4124907053148134,113.077,186.164,144.681,110.271,186.589,144.843
2221,11,3,0.4821512909711851,98.202,161.861,163.52,99.8988,161.205,161.131
2222,11,3,0.4677548732447382,98.202,161.861,163.52,95.6228,157.787,161.648
2224,11,3,0.46775508447152786,98.8683,166.49,171.619,101.037,169.317,176.363
2225,11,3,0.4537885299790191,98.8683,166.49,171.619,96.2419,162.909,171.665
2228,11,3,0.4677541826296138,108.22,184.29,177.705,108.524,187.779,177.644
2231,11,3,0.4537889067104184,108.22,184.29,177.705,109.543,186.174,181.973
2200,11,3,0.4527649506955828,86.2396,144.08,123.223,89.4815,144.952,123.0
2201,11,3,0.43924660513328684,86.2396,144.08,123.223,85.245,145.464,125.098
2388,11,3,0.4124910285415771,114.671,192.755,149.475,111.781,197.968,152.354
2391,11,3,0.4001750042713501,114.671,192.755,149.475,118.414,192.321,153.057
1131,11,4,0.538401310386003,203.09,83.9951,233.952,198.546,80.8775,232.286
1134,11,4,0.5223259447765107,203.09,83.9951,233.952,203.498,79.5961,234.766
1139,11,4,0.5384014037354166,196.873,100.45,238.396,195.143,103.203,234.249
1146,11,4,0.522325894570885,196.873,100.45,238.396,196.607,101.242,245.577
2233,11,3,0.45378964310506337,110.809,179.282,173.886,112.127,177.216,171.021
2234,11,3,0.44023990332977914,110.809,179.282,173.886,114.959,181.801,177.259
2240,11,3,0.4677548870140304,84.9714,172.315,166.383,85.9585,169.091,164.255
2241,11,3,0.45378960640232424,84.9714,172.315,166.383,82.5316,171.259,166.405
2243,11,3,0.4537889210363381,83.6304,179.568,171.513,80.5258,183.642,172.663
2244,11,3,0.44023926695699644,83.6304,179.568,171.513,82.3602,179.358,174.085
2399,11,3,0.4001756284112827,113.615,196.245,137.783,110.945,199.528,135.933
2400,11,3,0.38822677456975385,113.615,196.245,137.783,114.619,199.161,139.948
2404,11,3,0.4124910102036036,112.579,176.38,125.42,110.242,175.041,127.779
2405,11,3,0.4001748078784843,112.579,176.38,125.42,112.889,174.138,124.54
2349,11,3,0.4991654855211638,138.182,138.934,150.038,135.283,138.628,147.25
